Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas1551     Pavarde1551    7    9    4    5    8    1       
Vardas1552     Pavarde1552    1    10   6    9    3    6       
Vardas1553     Pavarde1553    7    2    5    3    7    6       
Vardas1554     Pavarde1554    6    6    5    1    2    10      
Vardas1555     Pavarde1555    10   6    3    8    1    6       
Vardas1556     Pavarde1556    2    10   10   5    7    5       
Vardas1557     Pavarde1557    7    5    2    7    1    9       
Vardas1558     Pavarde1558    6    1    4    6    9    4       
Vardas1559     Pavarde1559    5    8    5    2    4    10      
Vardas1560     Pavarde1560    5    1    1    5    6    8       
Vardas1561     Pavarde1561    9    2    3    3    6    5       
Vardas1562     Pavarde1562    8    3    2    9    2    6       
Vardas1563     Pavarde1563    10   8    10   6    9    9       
Vardas1564     Pavarde1564    8    8    9    4    8    4       
Vardas1565     Pavarde1565    8    9    9    9    9    6       
Vardas1566     Pavarde1566    10   6    8    9    10   6       
Vardas1567     Pavarde1567    6    7    6    6    6    8       
Vardas1568     Pavarde1568    9    6    5    3    3    9       
Vardas1569     Pavarde1569    5    10   6    1    9    9       
Vardas1570     Pavarde1570    1    10   8    9    5    5       
Vardas1571     Pavarde1571    2    1    7    2    5    4       
Vardas1572     Pavarde1572    5    2    6    1    3    4       
Vardas1573     Pavarde1573    7    8    6    3    7    9       
Vardas1574     Pavarde1574    9    4    6    3    9    3       
Vardas1575     Pavarde1575    3    4    3    2    1    5       
Vardas1576     Pavarde1576    5    2    1    2    7    8       
Vardas1577     Pavarde1577    7    9    5    4    7    6       
Vardas1578     Pavarde1578    8    3    4    2    1    4       
Vardas1579     Pavarde1579    3    8    10   8    9    4       
Vardas1580     Pavarde1580    3    9    3    2    4    6       
Vardas1581     Pavarde1581    10   9    1    8    7    3       
Vardas1582     Pavarde1582    9    3    9    7    9    2       
Vardas1583     Pavarde1583    3    3    7    9    7    9       
Vardas1584     Pavarde1584    7    3    2    7    9    3       
Vardas1585     Pavarde1585    6    6    6    5    8    5       
Vardas1586     Pavarde1586    7    6    8    6    3    3       
Vardas1587     Pavarde1587    2    9    7    8    4    1       
Vardas1588     Pavarde1588    6    4    2    3    2    6       
Vardas1589     Pavarde1589    4    9    3    8    3    5       
Vardas1590     Pavarde1590    5    1    2    6    10   9       
Vardas1591     Pavarde1591    6    5    2    7    9    1       
Vardas1592     Pavarde1592    1    5    5    9    8    5       
Vardas1593     Pavarde1593    5    3    5    6    7    6       
Vardas1594     Pavarde1594    3    2    8    3    9    4       
Vardas1595     Pavarde1595    1    6    8    5    9    5       
Vardas1596     Pavarde1596    7    4    3    9    7    4       
Vardas1597     Pavarde1597    10   4    1    3    2    6       
Vardas1598     Pavarde1598    10   8    3    4    2    8       
Vardas1599     Pavarde1599    9    2    6    9    8    1       
Vardas1600     Pavarde1600    4    1    3    4    7    3       
Vardas1601     Pavarde1601    8    5    9    8    9    6       
Vardas1602     Pavarde1602    9    5    3    10   5    6       
Vardas1603     Pavarde1603    5    2    2    7    2    9       
Vardas1604     Pavarde1604    8    5    10   2    4    2       
Vardas1605     Pavarde1605    8    8    10   4    5    2       
Vardas1606     Pavarde1606    6    2    10   2    2    10      
Vardas1607     Pavarde1607    3    7    2    4    8    10      
Vardas1608     Pavarde1608    4    10   9    6    6    5       
Vardas1609     Pavarde1609    7    2    10   7    2    1       
Vardas1610     Pavarde1610    1    2    8    9    8    5       
Vardas1611     Pavarde1611    6    5    9    2    5    8       
Vardas1612     Pavarde1612    1    2    8    6    7    10      
Vardas1613     Pavarde1613    10   6    2    9    9    6       
Vardas1614     Pavarde1614    2    6    2    7    6    10      
Vardas1615     Pavarde1615    4    10   8    3    5    9       
Vardas1616     Pavarde1616    4    8    3    2    2    7       
Vardas1617     Pavarde1617    10   10   6    6    9    1       
Vardas1618     Pavarde1618    9    7    10   6    9    7       
Vardas1619     Pavarde1619    1    9    6    10   3    5       
Vardas1620     Pavarde1620    5    6    2    7    4    1       
Vardas1621     Pavarde1621    9    10   9    4    7    4       
Vardas1622     Pavarde1622    2    8    5    6    7    1       
Vardas1623     Pavarde1623    1    10   4    3    2    7       
Vardas1624     Pavarde1624    9    3    8    6    5    2       
Vardas1625     Pavarde1625    9    1    5    8    1    8       
Vardas1626     Pavarde1626    5    5    1    6    6    9       
Vardas1627     Pavarde1627    9    7    7    1    5    8       
Vardas1628     Pavarde1628    2    7    10   7    4    5       
Vardas1629     Pavarde1629    2    4    2    3    2    9       
Vardas1630     Pavarde1630    1    5    3    6    10   10      
Vardas1631     Pavarde1631    10   1    3    1    10   1       
Vardas1632     Pavarde1632    8    5    6    9    8    9       
Vardas1633     Pavarde1633    8    10   7    10   2    8       
Vardas1634     Pavarde1634    7    3    5    6    6    3       
Vardas1635     Pavarde1635    1    5    5    7    5    1       
Vardas1636     Pavarde1636    3    8    10   10   2    9       
Vardas1637     Pavarde1637    7    9    8    1    3    7       
Vardas1638     Pavarde1638    5    8    5    5    3    9       
Vardas1639     Pavarde1639    6    3    5    2    5    4       
Vardas1640     Pavarde1640    3    10   6    2    2    6       
Vardas1641     Pavarde1641    5    6    2    5    6    3       
Vardas1642     Pavarde1642    4    4    7    10   8    7       
Vardas1643     Pavarde1643    3    8    7    8    5    7       
Vardas1644     Pavarde1644    9    7    6    8    4    2       
Vardas1645     Pavarde1645    1    6    1    3    8    5       
Vardas1646     Pavarde1646    6    1    10   3    8    8       
Vardas1647     Pavarde1647    7    1    3    10   9    3       
Vardas1648     Pavarde1648    3    1    8    2    2    10      
Vardas1649     Pavarde1649    5    4    3    6    7    3       
Vardas1650     Pavarde1650    8    1    8    6    3    8       
Vardas1651     Pavarde1651    8    7    5    8    8    9       
Vardas1652     Pavarde1652    3    9    10   5    1    9       
Vardas1653     Pavarde1653    8    3    1    6    9    6       
Vardas1654     Pavarde1654    4    4    6    10   10   2       
Vardas1655     Pavarde1655    2    1    6    10   3    7       
Vardas1656     Pavarde1656    5    5    9    6    1    9       
Vardas1657     Pavarde1657    6    7    6    8    3    4       
Vardas1658     Pavarde1658    7    6    2    9    7    10      
Vardas1659     Pavarde1659    4    5    3    5    9    4       
Vardas1660     Pavarde1660    4    5    2    5    6    3       
Vardas1661     Pavarde1661    1    4    3    10   5    9       
Vardas1662     Pavarde1662    6    10   1    3    9    8       
Vardas1663     Pavarde1663    5    2    1    5    2    9       
Vardas1664     Pavarde1664    3    8    7    5    7    5       
Vardas1665     Pavarde1665    1    7    7    1    4    2       
Vardas1666     Pavarde1666    6    8    7    9    7    5       
Vardas1667     Pavarde1667    6    5    2    8    6    4       
Vardas1668     Pavarde1668    2    5    5    6    7    9       
Vardas1669     Pavarde1669    3    5    2    6    3    3       
Vardas1670     Pavarde1670    1    4    10   8    9    1       
Vardas1671     Pavarde1671    1    2    8    4    8    5       
Vardas1672     Pavarde1672    5    2    5    4    1    10      
Vardas1673     Pavarde1673    6    3    3    9    2    2       
Vardas1674     Pavarde1674    1    10   6    4    3    10      
Vardas1675     Pavarde1675    3    10   1    1    3    7       
Vardas1676     Pavarde1676    10   10   10   2    8    3       
Vardas1677     Pavarde1677    4    3    3    9    8    10      
Vardas1678     Pavarde1678    4    10   2    2    6    3       
Vardas1679     Pavarde1679    3    7    9    4    2    5       
Vardas1680     Pavarde1680    10   1    1    6    10   2       
Vardas1681     Pavarde1681    9    2    4    4    7    10      
Vardas1682     Pavarde1682    8    5    10   5    9    10      
Vardas1683     Pavarde1683    6    10   5    8    9    10      
Vardas1684     Pavarde1684    2    5    1    4    1    4       
Vardas1685     Pavarde1685    4    7    4    1    2    9       
Vardas1686     Pavarde1686    4    3    3    10   1    9       
Vardas1687     Pavarde1687    9    4    6    9    10   2       
Vardas1688     Pavarde1688    6    9    6    4    6    8       
Vardas1689     Pavarde1689    5    2    4    5    3    9       
Vardas1690     Pavarde1690    3    10   1    5    7    1       
Vardas1691     Pavarde1691    2    6    2    4    10   2       
Vardas1692     Pavarde1692    10   6    3    10   10   10      
Vardas1693     Pavarde1693    7    2    10   2    7    4       
Vardas1694     Pavarde1694    5    9    1    4    10   6       
Vardas1695     Pavarde1695    2    3    10   4    8    7       
Vardas1696     Pavarde1696    2    7    4    10   4    10      
Vardas1697     Pavarde1697    7    10   3    7    8    3       
Vardas1698     Pavarde1698    9    6    9    10   8    2       
Vardas1699     Pavarde1699    10   2    8    1    7    10      
Vardas1700     Pavarde1700    5    2    3    8    10   9       
Vardas1701     Pavarde1701    9    9    9    7    2    4       
Vardas1702     Pavarde1702    7    2    7    3    2    10      
Vardas1703     Pavarde1703    5    1    3    1    4    9       
Vardas1704     Pavarde1704    6    8    5    1    5    8       
Vardas1705     Pavarde1705    1    9    9    7    8    5       
Vardas1706     Pavarde1706    2    4    5    6    5    2       
Vardas1707     Pavarde1707    9    5    7    4    2    8       
Vardas1708     Pavarde1708    3    6    1    4    7    5       
Vardas1709     Pavarde1709    2    1    7    6    1    5       
Vardas1710     Pavarde1710    4    1    10   10   2    2       
Vardas1711     Pavarde1711    6    7    1    3    2    1       
Vardas1712     Pavarde1712    9    10   2    9    3    8       
Vardas1713     Pavarde1713    3    9    2    9    7    3       
Vardas1714     Pavarde1714    4    2    6    7    9    10      
Vardas1715     Pavarde1715    6    5    10   7    1    8       
Vardas1716     Pavarde1716    6    6    10   10   3    8       
Vardas1717     Pavarde1717    10   6    8    7    4    2       
Vardas1718     Pavarde1718    7    2    2    1    5    9       
Vardas1719     Pavarde1719    9    7    8    2    6    10      
Vardas1720     Pavarde1720    5    9    9    2    5    6       
Vardas1721     Pavarde1721    8    8    5    7    5    5       
Vardas1722     Pavarde1722    8    3    8    7    3    8       
Vardas1723     Pavarde1723    4    9    10   3    8    1       
Vardas1724     Pavarde1724    2    9    4    10   9    3       
Vardas1725     Pavarde1725    8    6    3    9    2    9       
Vardas1726     Pavarde1726    6    8    5    8    4    5       
Vardas1727     Pavarde1727    6    3    7    10   1    1       
Vardas1728     Pavarde1728    6    9    10   9    4    4       
Vardas1729     Pavarde1729    5    9    6    10   6    9       
Vardas1730     Pavarde1730    6    4    2    8    4    8       
Vardas1731     Pavarde1731    4    2    8    2    7    2       
Vardas1732     Pavarde1732    1    2    4    10   9    2       
Vardas1733     Pavarde1733    3    4    8    10   9    10      
Vardas1734     Pavarde1734    6    3    2    8    8    7       
Vardas1735     Pavarde1735    3    10   7    10   3    7       
Vardas1736     Pavarde1736    6    5    6    3    9    8       
Vardas1737     Pavarde1737    8    7    1    5    10   3       
Vardas1738     Pavarde1738    4    2    9    2    7    2       
Vardas1739     Pavarde1739    8    7    1    10   4    7       
Vardas1740     Pavarde1740    10   9    4    8    5    4       
Vardas1741     Pavarde1741    8    9    2    4    6    4       
Vardas1742     Pavarde1742    1    6    7    6    5    10      
Vardas1743     Pavarde1743    6    3    1    8    5    1       
Vardas1744     Pavarde1744    7    6    8    7    2    7       
Vardas1745     Pavarde1745    3    2    1    5    4    6       
Vardas1746     Pavarde1746    4    4    8    3    10   9       
Vardas1747     Pavarde1747    1    7    4    8    5    9       
Vardas1748     Pavarde1748    7    1    1    4    10   2       
Vardas1749     Pavarde1749    8    4    7    4    9    8       
Vardas1750     Pavarde1750    10   3    6    3    7    4       
Vardas1751     Pavarde1751    5    2    1    10   2    9       
Vardas1752     Pavarde1752    10   3    7    6    10   3       
Vardas1753     Pavarde1753    3    5    7    5    4    2       
Vardas1754     Pavarde1754    9    10   6    10   8    6       
Vardas1755     Pavarde1755    3    3    5    10   5    1       
Vardas1756     Pavarde1756    6    1    7    7    10   1       
Vardas1757     Pavarde1757    8    4    10   10   9    6       
Vardas1758     Pavarde1758    8    2    10   5    9    10      
Vardas1759     Pavarde1759    2    6    8    3    6    8       
Vardas1760     Pavarde1760    7    4    2    6    6    8       
Vardas1761     Pavarde1761    7    9    10   9    9    4       
Vardas1762     Pavarde1762    9    6    10   1    2    5       
Vardas1763     Pavarde1763    5    8    8    9    1    9       
Vardas1764     Pavarde1764    1    9    4    9    7    10      
Vardas1765     Pavarde1765    7    2    1    10   6    6       
Vardas1766     Pavarde1766    7    10   10   8    7    6       
Vardas1767     Pavarde1767    3    8    8    10   1    10      
Vardas1768     Pavarde1768    3    2    4    1    4    4       
Vardas1769     Pavarde1769    7    10   9    4    1    4       
Vardas1770     Pavarde1770    4    7    10   6    2    5       
Vardas1771     Pavarde1771    10   2    4    8    1    1       
Vardas1772     Pavarde1772    4    6    2    5    4    8       
Vardas1773     Pavarde1773    9    7    2    7    1    9       
Vardas1774     Pavarde1774    8    1    2    1    5    9       
Vardas1775     Pavarde1775    4    1    7    8    4    3       
Vardas1776     Pavarde1776    6    4    10   8    5    3       
Vardas1777     Pavarde1777    5    4    5    3    8    3       
Vardas1778     Pavarde1778    1    5    1    5    3    3       
Vardas1779     Pavarde1779    9    10   8    9    1    10      
Vardas1780     Pavarde1780    8    5    2    9    7    1       
Vardas1781     Pavarde1781    1    10   2    9    5    1       
Vardas1782     Pavarde1782    10   1    6    3    5    10      
Vardas1783     Pavarde1783    3    1    8    2    10   2       
Vardas1784     Pavarde1784    7    8    7    5    2    4       
Vardas1785     Pavarde1785    6    6    8    6    4    1       
Vardas1786     Pavarde1786    8    1    4    5    6    4       
Vardas1787     Pavarde1787    3    8    9    10   8    5       
Vardas1788     Pavarde1788    5    6    5    8    1    10      
Vardas1789     Pavarde1789    7    8    8    8    5    7       
Vardas1790     Pavarde1790    6    6    5    1    3    5       
Vardas1791     Pavarde1791    6    3    3    8    3    5       
Vardas1792     Pavarde1792    2    8    4    3    4    7       
Vardas1793     Pavarde1793    4    1    1    7    6    4       
Vardas1794     Pavarde1794    9    10   5    9    6    6       
Vardas1795     Pavarde1795    2    1    4    2    7    6       
Vardas1796     Pavarde1796    5    6    1    6    3    4       
Vardas1797     Pavarde1797    10   9    8    1    7    9       
Vardas1798     Pavarde1798    9    4    6    7    9    1       
Vardas1799     Pavarde1799    3    2    8    8    4    2       
Vardas1800     Pavarde1800    5    9    6    6    4    3       
Vardas1801     Pavarde1801    5    2    2    3    2    6       
Vardas1802     Pavarde1802    8    2    4    1    10   5       
Vardas1803     Pavarde1803    7    5    8    6    7    6       
Vardas1804     Pavarde1804    7    10   3    7    2    4       
Vardas1805     Pavarde1805    1    3    7    10   4    2       
Vardas1806     Pavarde1806    5    5    7    7    4    1       
Vardas1807     Pavarde1807    4    6    2    5    6    4       
Vardas1808     Pavarde1808    4    1    10   7    2    7       
Vardas1809     Pavarde1809    2    9    1    5    1    7       
Vardas1810     Pavarde1810    10   10   8    7    10   6       
Vardas1811     Pavarde1811    6    3    7    2    5    10      
Vardas1812     Pavarde1812    9    4    10   7    2    5       
Vardas1813     Pavarde1813    3    1    4    8    2    4       
Vardas1814     Pavarde1814    5    9    4    10   8    2       
Vardas1815     Pavarde1815    5    5    9    3    10   7       
Vardas1816     Pavarde1816    1    4    9    8    1    7       
Vardas1817     Pavarde1817    6    1    2    8    5    9       
Vardas1818     Pavarde1818    5    8    10   10   3    3       
Vardas1819     Pavarde1819    4    8    1    1    8    9       
Vardas1820     Pavarde1820    4    9    8    2    1    3       
Vardas1821     Pavarde1821    5    2    10   5    6    4       
Vardas1822     Pavarde1822    2    6    8    1    1    6       
Vardas1823     Pavarde1823    4    8    9    5    7    6       
Vardas1824     Pavarde1824    5    4    10   8    6    5       
Vardas1825     Pavarde1825    3    9    9    3    7    8       
Vardas1826     Pavarde1826    9    6    6    4    4    2       
Vardas1827     Pavarde1827    3    5    2    7    8    7       
Vardas1828     Pavarde1828    5    7    5    9    5    4       
Vardas1829     Pavarde1829    4    7    6    3    7    5       
Vardas1830     Pavarde1830    10   6    6    1    2    3       
Vardas1831     Pavarde1831    7    1    3    5    4    3       
Vardas1832     Pavarde1832    10   8    8    8    1    10      
Vardas1833     Pavarde1833    1    1    9    3    3    9       
Vardas1834     Pavarde1834    7    5    10   2    6    2       
Vardas1835     Pavarde1835    8    7    3    2    10   4       
Vardas1836     Pavarde1836    7    7    7    4    1    5       
Vardas1837     Pavarde1837    4    9    8    7    8    8       
Vardas1838     Pavarde1838    6    4    2    6    1    4       
Vardas1839     Pavarde1839    1    3    3    6    7    4       
Vardas1840     Pavarde1840    3    1    8    5    3    9       
Vardas1841     Pavarde1841    1    5    7    5    5    2       
Vardas1842     Pavarde1842    1    2    5    8    8    5       
Vardas1843     Pavarde1843    7    9    5    6    6    7       
Vardas1844     Pavarde1844    9    4    8    10   3    8       
Vardas1845     Pavarde1845    6    7    9    6    8    5       
Vardas1846     Pavarde1846    9    2    2    8    9    6       
Vardas1847     Pavarde1847    2    2    7    10   7    2       
Vardas1848     Pavarde1848    10   4    4    9    9    2       
Vardas1849     Pavarde1849    4    4    8    3    3    2       
Vardas1850     Pavarde1850    9    2    10   2    4    1       
Vardas1851     Pavarde1851    1    4    9    9    6    9       
Vardas1852     Pavarde1852    5    10   2    7    1    4       
Vardas1853     Pavarde1853    3    9    8    9    6    3       
Vardas1854     Pavarde1854    2    8    9    6    5    4       
Vardas1855     Pavarde1855    1    3    5    9    9    9       
Vardas1856     Pavarde1856    6    4    6    3    1    6       
Vardas1857     Pavarde1857    2    5    8    5    10   9       
Vardas1858     Pavarde1858    5    2    8    3    1    3       
Vardas1859     Pavarde1859    10   4    9    2    3    4       
Vardas1860     Pavarde1860    10   8    5    2    5    8       
Vardas1861     Pavarde1861    1    1    7    7    5    4       
Vardas1862     Pavarde1862    3    1    3    7    6    3       
Vardas1863     Pavarde1863    8    6    3    8    7    6       
Vardas1864     Pavarde1864    9    6    7    9    4    1       
Vardas1865     Pavarde1865    3    6    4    9    2    8       
Vardas1866     Pavarde1866    4    2    5    5    10   3       
Vardas1867     Pavarde1867    5    6    7    9    8    8       
Vardas1868     Pavarde1868    10   3    3    5    5    10      
Vardas1869     Pavarde1869    3    1    5    8    8    9       
Vardas1870     Pavarde1870    5    3    1    1    7    1       
Vardas1871     Pavarde1871    4    6    2    4    1    2       
Vardas1872     Pavarde1872    7    3    5    6    9    1       
Vardas1873     Pavarde1873    6    6    6    8    2    3       
Vardas1874     Pavarde1874    4    3    7    3    7    1       
Vardas1875     Pavarde1875    10   4    2    6    5    3       
Vardas1876     Pavarde1876    7    6    4    2    6    1       
Vardas1877     Pavarde1877    4    10   6    2    8    4       
Vardas1878     Pavarde1878    3    5    2    9    6    6       
Vardas1879     Pavarde1879    9    8    10   6    10   3       
Vardas1880     Pavarde1880    8    6    8    2    6    7       
Vardas1881     Pavarde1881    10   7    4    7    10   2       
Vardas1882     Pavarde1882    1    10   1    1    1    4       
Vardas1883     Pavarde1883    7    9    3    1    8    1       
Vardas1884     Pavarde1884    4    1    4    3    7    5       
Vardas1885     Pavarde1885    5    9    6    3    4    10      
Vardas1886     Pavarde1886    7    7    5    2    10   2       
Vardas1887     Pavarde1887    6    2    5    1    4    7       
Vardas1888     Pavarde1888    2    5    1    2    6    3       
Vardas1889     Pavarde1889    5    4    4    3    4    7       
Vardas1890     Pavarde1890    5    10   1    7    4    4       
Vardas1891     Pavarde1891    9    1    8    4    4    8       
Vardas1892     Pavarde1892    1    9    7    2    4    10      
Vardas1893     Pavarde1893    9    2    9    4    7    1       
Vardas1894     Pavarde1894    4    4    1    6    10   7       
Vardas1895     Pavarde1895    7    4    6    5    4    6       
Vardas1896     Pavarde1896    8    4    8    7    8    8       
Vardas1897     Pavarde1897    1    4    7    8    8    2       
Vardas1898     Pavarde1898    3    4    10   8    6    10      
Vardas1899     Pavarde1899    7    3    2    3    10   10      
Vardas1900     Pavarde1900    4    1    4    7    3    1       
Vardas1901     Pavarde1901    3    3    3    3    4    9       
Vardas1902     Pavarde1902    9    8    1    10   10   3       
Vardas1903     Pavarde1903    9    1    9    3    5    2       
Vardas1904     Pavarde1904    4    8    4    6    5    8       
Vardas1905     Pavarde1905    1    9    1    1    4    1       
Vardas1906     Pavarde1906    3    7    5    3    3    2       
Vardas1907     Pavarde1907    4    2    5    4    8    1       
Vardas1908     Pavarde1908    7    1    3    6    2    9       
Vardas1909     Pavarde1909    1    3    7    3    8    9       
Vardas1910     Pavarde1910    9    1    1    8    3    10      
Vardas1911     Pavarde1911    10   2    2    1    5    10      
Vardas1912     Pavarde1912    3    7    1    10   10   8       
Vardas1913     Pavarde1913    9    6    4    1    10   6       
Vardas1914     Pavarde1914    1    3    4    4    3    8       
Vardas1915     Pavarde1915    2    3    2    4    10   5       
Vardas1916     Pavarde1916    6    7    1    9    1    3       
Vardas1917     Pavarde1917    8    6    1    10   6    10      
Vardas1918     Pavarde1918    10   8    7    4    7    6       
Vardas1919     Pavarde1919    9    3    8    2    3    9       
Vardas1920     Pavarde1920    10   4    4    2    3    5       
Vardas1921     Pavarde1921    5    5    6    2    2    4       
Vardas1922     Pavarde1922    6    1    5    7    5    6       
Vardas1923     Pavarde1923    3    9    5    5    3    9       
Vardas1924     Pavarde1924    6    8    2    8    9    2       
Vardas1925     Pavarde1925    8    4    6    4    1    2       
Vardas1926     Pavarde1926    5    3    8    8    1    5       
Vardas1927     Pavarde1927    4    4    1    7    3    9       
Vardas1928     Pavarde1928    7    8    9    7    3    2       
Vardas1929     Pavarde1929    4    7    7    7    2    7       
Vardas1930     Pavarde1930    4    5    7    4    5    5       
Vardas1931     Pavarde1931    2    4    10   5    8    6       
Vardas1932     Pavarde1932    5    10   4    8    8    10      
Vardas1933     Pavarde1933    4    2    7    10   5    9       
Vardas1934     Pavarde1934    5    9    9    7    4    6       
Vardas1935     Pavarde1935    10   5    5    1    3    8       
Vardas1936     Pavarde1936    7    5    5    4    5    9       
Vardas1937     Pavarde1937    3    7    8    2    6    2       
Vardas1938     Pavarde1938    5    1    5    1    10   9       
Vardas1939     Pavarde1939    10   2    5    10   3    8       
Vardas1940     Pavarde1940    9    7    9    1    6    10      
Vardas1941     Pavarde1941    7    5    6    10   3    2       
Vardas1942     Pavarde1942    10   7    6    4    2    8       
Vardas1943     Pavarde1943    1    5    4    10   8    3       
Vardas1944     Pavarde1944    7    6    5    4    7    5       
Vardas1945     Pavarde1945    6    9    7    2    6    9       
Vardas1946     Pavarde1946    9    1    7    9    10   8       
Vardas1947     Pavarde1947    2    8    9    2    6    5       
Vardas1948     Pavarde1948    2    1    2    1    8    9       
Vardas1949     Pavarde1949    3    9    10   8    9    7       
Vardas1950     Pavarde1950    5    5    1    4    10   4       
Vardas1951     Pavarde1951    3    4    2    9    1    9       
Vardas1952     Pavarde1952    6    8    5    5    6    10      
Vardas1953     Pavarde1953    4    4    6    6    10   1       
Vardas1954     Pavarde1954    1    7    7    9    6    3       
Vardas1955     Pavarde1955    5    8    9    8    10   4       
Vardas1956     Pavarde1956    10   7    7    4    2    2       
Vardas1957     Pavarde1957    2    4    2    8    6    6       
Vardas1958     Pavarde1958    5    7    7    6    3    1       
Vardas1959     Pavarde1959    6    4    8    10   7    6       
Vardas1960     Pavarde1960    3    2    4    4    5    4       
Vardas1961     Pavarde1961    9    2    10   2    4    2       
Vardas1962     Pavarde1962    1    6    10   2    10   6       
Vardas1963     Pavarde1963    6    5    6    2    7    6       
Vardas1964     Pavarde1964    10   10   9    9    10   8       
Vardas1965     Pavarde1965    1    9    1    5    1    6       
Vardas1966     Pavarde1966    7    4    9    4    9    5       
Vardas1967     Pavarde1967    9    9    7    10   4    6       
Vardas1968     Pavarde1968    8    9    6    6    5    7       
Vardas1969     Pavarde1969    5    8    9    1    4    8       
Vardas1970     Pavarde1970    3    4    1    8    6    8       
Vardas1971     Pavarde1971    10   6    4    7    3    6       
Vardas1972     Pavarde1972    10   10   2    3    4    8       
Vardas1973     Pavarde1973    7    6    4    8    7    9       
Vardas1974     Pavarde1974    7    3    4    5    4    10      
Vardas1975     Pavarde1975    5    9    9    8    6    3       
Vardas1976     Pavarde1976    2    6    2    3    2    3       
Vardas1977     Pavarde1977    9    3    4    10   4    3       
Vardas1978     Pavarde1978    4    2    6    8    2    3       
Vardas1979     Pavarde1979    8    9    8    8    9    8       
Vardas1980     Pavarde1980    8    4    1    10   8    5       
Vardas1981     Pavarde1981    6    3    3    7    8    2       
Vardas1982     Pavarde1982    4    6    7    8    9    1       
Vardas1983     Pavarde1983    8    4    5    7    2    3       
Vardas1984     Pavarde1984    8    2    5    4    5    6       
Vardas1985     Pavarde1985    5    1    8    10   2    9       
Vardas1986     Pavarde1986    10   1    4    7    8    1       
Vardas1987     Pavarde1987    9    7    1    5    6    7       
Vardas1988     Pavarde1988    7    9    10   6    3    5       
Vardas1989     Pavarde1989    8    1    1    6    9    8       
Vardas1990     Pavarde1990    1    10   5    7    10   7       
Vardas1991     Pavarde1991    9    4    4    6    10   9       
Vardas1992     Pavarde1992    5    2    2    5    5    10      
Vardas1993     Pavarde1993    6    9    5    7    7    2       
Vardas1994     Pavarde1994    9    10   1    4    1    7       
Vardas1995     Pavarde1995    3    8    7    6    10   2       
Vardas1996     Pavarde1996    3    1    2    10   2    3       
Vardas1997     Pavarde1997    10   2    7    1    10   10      
Vardas1998     Pavarde1998    2    1    8    9    3    3       
Vardas1999     Pavarde1999    1    9    9    5    9    4       
Vardas2000     Pavarde2000    8    5    4    9    6    10      
Vardas2001     Pavarde2001    3    5    1    2    7    6       
Vardas2002     Pavarde2002    7    2    8    9    3    3       
Vardas2003     Pavarde2003    6    3    8    10   3    2       
Vardas2004     Pavarde2004    8    9    3    3    7    8       
Vardas2005     Pavarde2005    3    6    6    10   4    1       
Vardas2006     Pavarde2006    2    7    1    9    10   7       
Vardas2007     Pavarde2007    8    7    3    1    6    4       
Vardas2008     Pavarde2008    9    10   8    10   1    2       
Vardas2009     Pavarde2009    4    4    3    4    3    8       
Vardas2010     Pavarde2010    7    6    8    5    1    1       
Vardas2011     Pavarde2011    3    4    2    2    10   4       
Vardas2012     Pavarde2012    10   7    6    5    1    9       
Vardas2013     Pavarde2013    1    10   9    8    1    4       
Vardas2014     Pavarde2014    2    8    4    7    10   5       
Vardas2015     Pavarde2015    4    7    5    5    7    8       
Vardas2016     Pavarde2016    5    5    5    7    1    5       
Vardas2017     Pavarde2017    9    3    1    1    3    8       
Vardas2018     Pavarde2018    7    10   8    6    1    8       
Vardas2019     Pavarde2019    1    4    1    10   6    6       
Vardas2020     Pavarde2020    5    10   7    7    3    1       
Vardas2021     Pavarde2021    9    9    10   10   6    4       
Vardas2022     Pavarde2022    5    8    3    3    5    7       
Vardas2023     Pavarde2023    1    1    10   8    6    8       
Vardas2024     Pavarde2024    3    10   10   2    10   8       
Vardas2025     Pavarde2025    3    8    9    1    7    7       
Vardas2026     Pavarde2026    5    7    5    2    4    2       
Vardas2027     Pavarde2027    7    9    9    3    5    8       
Vardas2028     Pavarde2028    5    3    8    5    2    2       
Vardas2029     Pavarde2029    9    3    4    6    1    5       
Vardas2030     Pavarde2030    3    6    5    10   8    2       
Vardas2031     Pavarde2031    7    2    5    3    6    10      
Vardas2032     Pavarde2032    5    9    8    8    9    4       
Vardas2033     Pavarde2033    2    4    5    5    1    7       
Vardas2034     Pavarde2034    4    6    10   2    8    9       
Vardas2035     Pavarde2035    7    6    10   5    3    4       
Vardas2036     Pavarde2036    3    7    5    4    1    9       
Vardas2037     Pavarde2037    9    10   10   6    6    8       
Vardas2038     Pavarde2038    5    8    7    1    4    9       
Vardas2039     Pavarde2039    3    3    4    7    4    5       
Vardas2040     Pavarde2040    7    9    8    8    1    1       
Vardas2041     Pavarde2041    5    9    6    4    8    5       
Vardas2042     Pavarde2042    8    8    5    2    1    7       
Vardas2043     Pavarde2043    9    8    9    6    5    5       
Vardas2044     Pavarde2044    9    9    5    3    7    2       
Vardas2045     Pavarde2045    10   2    5    8    2    3       
Vardas2046     Pavarde2046    2    2    1    10   4    3       
Vardas2047     Pavarde2047    4    4    8    1    6    9       
Vardas2048     Pavarde2048    2    6    5    6    1    4       
